obsid,species,colors,time,duration,attempts,Rinter,Rintra,Iinter,Iintra,Notes,Successes,Observer,Sex,birdid,Colony,Date,Juv,Time of Day
,D. mer,UNB,,1:09:00,1,0,0,0,0,,0,SKW,Unknown,DUNB,Nelly,5/22/07,,AM
,D. mer,UNB,,1:45:00,1,0,0,0,0,,1,SKW,Unknown,DUNB,Nelly,5/22/07,,AM
,D. mer,UNB,,2:38:00,0,0,0,6,0,all to D. ful,0,SKW,Unknown,DUNB,Nelly,5/22/07,,AM
,D. mer,UNB,,2:16:00,2,0,0,0,1,,1,SKW,Unknown,DUNB,Nelly,5/22/07,,AM
,D. mer,UNB,,1:14:00,2,0,0,1,0,to d. ful,1,SKW,Unknown,DUNB,Nelly,5/22/07,,AM
,D. mer,s-pb,,3:18:00,2,0,0,0,0,,2,LS,Unknown,Ds-pb,Chris,5/24/07,,AM
,D. mer,UNB,,1:09:00,0,0,0,0,0,,0,LS,Unknown,DUNB,Chris,5/24/07,,AM
,D. mer,UNB,,2:30:00,2,0,0,0,0,,2,AS,Unknown,DUNB,Judy,5/22/07,,AM
,D. mer,UNB,,1:20:00,4,0,0,0,0,,2,AS,Unknown,DUNB,Chris,5/24/07,,AM
,D. mer,s-pp,,2:30:00,3,0,0,0,0,,2,AS,Unknown,Ds-pp,Chris,5/24/07,,AM
,D. mer,UNB,,2:41:00,5,0,1,0,0,,0,SKW,Unknown,DUNB,Chris,5/24/07,,AM
,D. mer,UNB,,2:14:00,6,0,0,1,0,,3,SKW,Unknown,DUNB,Chris,5/24/07,,AM
,D. mer,UNB,,1:03:00,1,0,0,0,0,,0,SKW,Unknown,DUNB,Chris,5/24/07,,AM
,D. mer,s-pb,,2:54:00,0,0,0,1,0,,0,SKW,Unknown,Ds-pb,Chris,5/24/07,,AM
,D. mer,s-pb,,5:30:00,6,0,0,0,0,,1,SKW,Unknown,Ds-pb,Chris,5/24/07,,AM
,D. mer,UNB,,2:34:00,2,0,0,0,1,,2,SKW,Unknown,DUNB,Chris,5/24/07,,PM
,D. mer,s-pb,,2:28:00,2,0,0,0,0,,0,SKW,Unknown,Ds-pb,Chris,5/24/07,,PM
,D. mer,s-pb,,2:22:00,2,1,0,0,0,,0,SKW,Unknown,Ds-pb,Chris,5/24/07,,PM
,D. mer,s-pb,,3:00:00,2,0,0,0,0,,2,SKW,Unknown,Ds-pb,Chris,5/24/07,,PM
,D. mer,unb,,3:23:00,2,0,0,0,0,,1,SKW,Unknown,Dunb,Judy,5/28/07,,AM
,D. mer,UNB,,3:27:00,2,0,0,0,0,,2,SKW,Unknown,DUNB,Judy,5/28/07,,AM
,D. mer,UNB`,,2:53:00,0,0,0,0,0,,0,SKW,Unknown,DUNB`,Judy,5/28/07,,AM
,D. mer,UNB,,2:15:00,1,0,0,0,0,,1,SKW,Unknown,DUNB,Judy,5/28/07,,AM
,D. mer,UNB,,2:00:00,0,0,0,0,0,,0,SKW,Unknown,DUNB,Judy,5/28/07,,AM
,D. mer,UNB,,3:00:00,2,0,1,0,0,,1,SKW,Unknown,DUNB,Judy,5/28/07,,AM
,D. mer,UNB,,1:20:00,2,0,1,0,0,,1,SKW,Unknown,DUNB,Judy,5/28/07,,AM
,D. mer,UNB,,2:08:00,1,0,1,0,0,,1,SKW,Unknown,DUNB,Judy,5/28/07,,AM
,D. mer,UNB,,1:43:00,2,0,1,0,0,,1,SKW,Unknown,DUNB,Judy,5/28/07,,AM
,D. mer,UNB,,4:00:00,1,0,0,0,0,,1,SKW,Unknown,DUNB,Judy,5/28/07,,AM
,D. mer,UNB,,1:28:00,0,0,0,0,0,,0,LS,Unknown,DUNB,Judy,5/28/07,,PM
,D. mer,UNB,,1:41:00,0,0,0,0,0,,0,LS,Unknown,DUNB,Judy,5/28/07,,PM
,D. mer,UNB,,1:57:00,1,1,0,1,0,w/ other spp woodcreeper,1,LS,Unknown,DUNB,Judy,5/28/07,,PM
,D. mer,UNB,,4:35:00,0,0,0,0,0,,0,SKW,Unknown,DUNB,Nelly,5/29/07,,AM
,D. mer,UNB,,1:39:00,1,0,0,0,0,,1,SKW,Unknown,DUNB,Nelly,5/29/07,,AM
,D. mer,UNB,,4:47:00,5,0,1,0,2,,4,AZS,Unknown,DUNB,Kathy,5/25/07,,AM
,D. mer,UNB,,3:59:00,4,0,0,0,0,,4,AZS,Unknown,DUNB,Kathy,5/25/07,,AM
,D. mer,UNB,,1:15:00,0,0,0,0,0,,0,AS,Unknown,DUNB,Nelly,5/29/07,,AM
,D. mer,UNB,,2:02:00,2,0,0,0,0,,2,AZS,Unknown,DUNB,Nelly,5/31/07,,AM
,D. mer,UNB,,3:43:00,5,0,0,0,0,,3,LC,Unknown,DUNB,Nelly,5/31/07,,AM
,D. mer,UNB,,1:23:00,2,0,0,0,0,,1,AZS,Unknown,DUNB,Nelly,5/31/07,,AM
,D. mer,UNB,,3:02:00,2,0,1,0,0,,1,AZS,Unknown,DUNB,Nelly,5/31/07,,AM
,D. mer,UNB,,1:54:00,3,0,0,0,0,,2,AZS,Unknown,DUNB,Nelly,5/31/07,,AM
,D. mer,UNB,,2:14:00,3,0,1,0,0,,1,AZS,Unknown,DUNB,Nelly,5/31/07,,AM
,D. mer,UNB,,3:58:00,3,0,1,0,0,,1,AZS,Unknown,DUNB,Nelly,5/31/07,,AM
,D. mer,UNB,,2:40:00,2,0,1,0,1,,0,AZS,Unknown,DUNB,Nelly,5/31/07,,AM
,D. mer,UNB,,4:41:00,15,0,0,0,0,,13,AS,Unknown,DUNB,Nelly,5/31/07,,AM
,D. mer,UNB,,2:30:00,2,0,0,0,0,,2,AS,Unknown,DUNB,Nelly,5/31/07,,AM
,D. mer,_-ps,,1:48:00,1,0,0,0,0,,1,AS,Unknown,D_-ps,Nelly,5/31/07,,AM
,D. mer,UNB,,1:35:00,0,0,0,0,0,,0,AS,Unknown,DUNB,Nelly,5/31/07,,AM
,D. mer,UNB,,1:02:00,0,0,1,0,1,,0,AS,Unknown,DUNB,Nelly,5/31/07,,AM
,D. mer,UNB,,2:36:00,3,1,0,0,0,by phleg,1,AZS,Unknown,DUNB,Kathy,6/1/07,,AM
,D. mer,UNB,,1:03:00,1,0,0,0,0,,1,AS,Unknown,DUNB,Kathy,6/1/07,,PM
,D. mer,UNB,,1:03:00,0,0,0,0,0,,0,LS,Unknown,DUNB,Judy,6/2/07,,AM
,D. mer,s-__,,1:06:00,1,0,0,0,0,,1,LS,Unknown,Ds-__,Judy,6/2/07,,AM
,D. mer,s-yw,,3:10:00,6,0,0,0,0,,2,SKW,Unknown,Ds-yw,Kathy,6/4/07,,AM
,D. mer,s-yw,,2:24:00,2,1,0,0,0,by Phleg,0,SKW,Unknown,Ds-yw,Kathy,6/4/07,,AM
,D. mer,s-yw,,2:46:00,2,0,0,0,0,,1,SKW,Unknown,Ds-yw,Kathy,6/4/07,,AM
,D. mer,s-yw,,1:12:00,2,0,0,0,0,,1,SKW,Unknown,Ds-yw,Kathy,6/4/07,,AM
,D. mer,s-yw,,1:54:00,1,0,0,0,0,,1,SKW,Unknown,Ds-yw,Kathy,6/4/07,,AM
,D. mer,s-yw,,1:46:00,0,0,0,0,0,,0,SKW,Unknown,Ds-yw,Kathy,6/4/07,,AM
,D. mer,UNB,,1:00:00,0,0,0,0,0,,0,AS,Unknown,DUNB,Judy,6/2/07,,AM
,D. mer,UNB,,1:23:00,1,0,0,0,0,,0,AS,Unknown,DUNB,Judy,6/2/07,,AM
,D. mer,UNB,,0:43:00,0,1,0,0,1,by Rheg Male,0,AZS,Unknown,DUNB,Judy,6/2/07,,AM
,D. mer,?,,1:12:00,1,0,0,0,0,,1,AS,Unknown,D?,Kathy,6/4/07,,AM
,D. mer,s-__,,2:22:00,1,1,0,0,0,by phleg,1,AS,Unknown,Ds-__,Kathy,6/4/07,,AM
,Rheg,UNB,,0:55:00,2,0,0,0,0,,2,SKW,Male,RUNB,Judy,5/17/07,,AM
,Rheg,UNB,,2:55:00,4,0,0,0,0,,1,SKW,Female,RUNB,Judy,5/21/07,,AM
,Rheg,UNB,,5:35:00,3,0,0,0,0,,2,SKW,Female,RUNB,Judy,5/21/07,,AM
,Rheg,UNB,,1:22:00,2,0,0,0,0,,0,LS,Female,RUNB,Judy,5/22/07,,AM
,Rheg,yp-s,,3:07:00,5,0,0,0,0,,3,LS,Female,Ryp-s,Judy,5/22/07,,AM
,Rheg,unb,,2:00:00,6,0,0,0,0,,4,LS,Male,Runb,Judy,5/22/07,,AM
,Rheg,unb,,1:15:00,2,0,1,0,0,by rheg yp-s,2,LS,Male,Runb,Judy,5/22/07,,AM
,Rheg,unb,,3:31:00,6,0,0,0,0,,5,LS,Male,Runb,Judy,5/22/07,,AM
,M. fort,unb,,2:23:00,4,0,0,0,0,,1,,Male,Munb,Chris,6/6/07,,PM
,M. fort,unb,,1:03:00,0,0,0,1,0,rheg,0,,Male,Munb,Chris,6/6/07,,PM
,D. mer,unb,,2:10:00,2,0,0,0,0,,1,LC,Unknown,Dunb,Judy,6/5/07,,PM
