obsid,species,colors,time,duration,attempts,Rinter,Rintra,Iinter,Iintra,Notes,Successes,Observer,Sex,birdid
001130Edw,Phleg,ob-s,1413:00:00,04:00:00,2,0,0,0,0,,2,KJS,Female,Pob-s
001130Tit,D. mer,s-pr,1510:00:00,04:00:00,0,0,0,0,0,,0,KJS,Female,Ds-pr
001201Lab,M. fort,s-yr,1130:00:00,01:30:00,1,0,0,0,0,,1,KJS,Male,Ms-yr
001201Lab,D. mer,s-pr,1135:00:00,04:00:00,0,0,0,0,0,,0,KJS,Female,Ds-pr
001202Gna,G. sal,rb-s,932:00:00,02:30:00,2,0,0,0,0,,2,KJS,Female,Grb-s
001208Edw,G. sal,yy-s,834:00:00,03:20:00,6,0,2,0,0,,4,KJS,Male,Gyy-s
001222Edw,Phleg,s-bw,924:00:00,01:55:00,1,0,0,0,0,,1,KJS,Unknown,Ps-bw
001226Lab,G. sal,bw-s,1135:00:00,04:00:00,4,0,0,0,0,,3,KJS,Female,Gbw-s
001226Lab,G. sal,go-s,1140:00:00,04:00:00,5,0,0,0,0,,3,KJS,Male,Ggo-s
010102Let,G. sal,go-s,1005:00:00,03:40:00,2,0,0,0,0,,2,KJS,Male,Ggo-s
010104Edw,Phleg,rr-s,1045:00:00,03:05:00,3,0,0,0,0,,2,KJS,Male,Prr-s
010108Let,D. mer,s-wb,835:00:00,02:50:00,0,0,0,0,0,,0,KJS,Female,Ds-wb
010108Let,Phleg,s-by,840:00:00,03:30:00,1,0,0,0,0,,1,KJS,Female,Ps-by
010109Edw,D. mer,unb,815:00:00,01:40:00,0,0,0,0,0,,0,KJS,Unknown,Dunb
010109Edw,Phleg,s-gw,820:00:00,04:00:00,1,0,0,0,0,preening,1,KJS,Unknown,Ps-gw
010109Edw,D. mer,r-sg,830:00:00,01:50:00,2,0,0,0,1,,1,KJS,Unknown,Dr-sg
010109Edw,Phleg,s-bw,836:00:00,04:00:00,1,0,0,0,0,,1,KJS,Unknown,Ps-bw
010109Edw,D. mer,unb,920:00:00,04:00:00,1,0,0,0,0,,1,KJS,Unknown,Dunb
010110Edw,Rheg,unb,818:00:00,01:50:00,2,0,0,0,0,,1,KJS,Unknown,Runb
010111Lab,M. fort,s-yr,1040:00:00,03:30:00,5,0,0,1,0,,3,KJS,Male,Ms-yr
010115Tit,D. mer,s-wb,1115:00:00,04:00:00,1,0,0,0,0,preening,1,KJS,Female,Ds-wb
010115Tit,G. sal,s-pp,1120:00:00,01:15:00,0,0,0,0,0,,0,KJS,Female,Gs-pp
010115Tit,G. sal,pp-s,1125:00:00,04:00:00,3,0,0,0,0,,3,KJS,Male,Gpp-s
010115Tit,D. mer,s-wb,1135:00:00,04:00:00,0,0,0,0,0,preening,0,KJS,Female,Ds-wb
010117Lab,Rheg,y-sy,900:00:00,03:50:00,8,0,0,0,0,juv,7,KJS,Unknown,Ry-sy
010117Lab,Rheg,gp-s,905:00:00,04:00:00,1,0,0,0,0,,1,KJS,Female,Rgp-s
010117Lab,Rheg,r-sy,910:00:00,04:00:00,5,0,0,0,0,juv,4,KJS,Unknown,Rr-sy
010118Tit,D. mer,s-wb,810:00:00,04:00:00,0,0,0,0,0,,0,KJS,Female,Ds-wb
010118Tit,Phleg,unb,820:00:00,01:41:00,1,0,0,0,0,juv,1,KJS,Unknown,Punb
010118Lab,D. mer,p-sp,1523:00:00,02:00:00,2,0,0,0,0,"juv, also Rrg-s",2,SKW,Unknown,Dp-sp
010123Tit,Rheg,unb,810:00:00,03:00:00,0,0,0,0,0,,0,CETP,Male,Runb
010123Tit,D. mer,s-wb,827:00:00,02:15:00,3,0,0,0,0,,1,CETP,Female,Ds-wb
010123Tit,D. mer,s-wb,855:00:00,05:00:00,3,0,0,0,0,,0,CETP,Female,Ds-wb
010125Lab,Phleg,so-b,852:00:00,05:00:00,8,0,0,0,0,,2,CETP,Unknown,Pso-b
010125Lab,Phleg,so-b,914:00:00,03:00:00,0,0,0,0,0,,0,CETP,Unknown,Pso-b
010125Lab,Phleg,so-b,934:00:00,05:00:00,1,0,0,0,0,,1,CETP,Unknown,Pso-b
010119Lab,D. mer,rg-s,1000:00:00,01:40:00,2,0,0,0,0,CF,2,DRH,Female,Drg-s
010119Lab,D. mer,p-sp,1021:00:00,02:20:00,2,0,0,0,0,juv,1,DRH,Unknown,Dp-sp
010119Lab,D. mer,p-sp,1038:00:00,02:40:00,1,0,1,0,0,"by mom, handled lg. insect entire 2:40 (hard to eat)",1,DRH,Unknown,Dp-sp
010119Lab,D. mer,rg-s,1043:00:00,04:00:00,1,0,0,0,0,,0,DRH,Female,Drg-s
010119Lab,M. fort,ob-s,1054:00:00,01:30:00,2,0,0,0,0,,2,DRH,Male,Mob-s
010119Lab,D. mer,rg-s,1108:00:00,01:50:00,0,0,0,0,0,,0,DRH,Female,Drg-s
