,obsid,species,duration,duration_seconds,attempts,Rinter,Rintra,Iinter,Iintra,Successes,Ind_Rinter,Ind_Rintra,Ind_Iinter,Ind_Iintra,Ind_Successes
718,070611ElianaAM,D. mer,1:23:00,4980,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
719,070611ElianaAM,D. mer,3:08:00,11280,1,0,0,0,1,0,FALSE,FALSE,FALSE,TRUE,FALSE
720,070611ElianaAM,D. mer,1:25:00,5100,1,0,1,0,2,1,FALSE,TRUE,FALSE,TRUE,TRUE
721,070611ElianaAM,D. mer,3:06:00,11160,3,0,1,0,1,2,FALSE,TRUE,FALSE,TRUE,TRUE
722,070611ElianaAM,D. mer,2:35:00,9300,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
723,070611ElianaAM,D. mer,1:12:00,4320,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
724,070611ElianaAM,D. mer,1:15:00,4500,1,0,0,0,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
725,070611ElianaAM,D. mer,1:05:00,3900,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
726,070611ElianaAM,D. mer,0:54:00,3240,0,0,1,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
727,070611ElianaAM,D. mer,1:16:00,4560,0,0,2,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
728,070523NellyAM,Phleg,1:00:00,3600,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
729,070524LabbieAM,Phleg,2:23:00,8580,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
730,070524LabbieAM,Phleg,2:05:00,7500,0,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
731,070524LabbieAM,Phleg,2:49:00,10140,5,0,0,0,0,5,FALSE,FALSE,FALSE,FALSE,TRUE
732,070524ElianaAM,Phleg,2:30:00,9000,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
